Density (g/cc),Energy (MeV),Geometric Efficiency,Relative Error
0.1,0.05,0.3655,0.0098
0.1,0.15,0.48817,0.0085
0.1,0.25,0.50288,0.0083
0.1,0.4,0.52527,0.0083
0.1,0.6,0.5496,0.0084
0.1,0.8,0.57372,0.0131
0.1,1,0.59092,0.0133
0.1,1.2,0.60252,0.0132
0.1,1.5,0.61563,0.0131
0.1,1.8,0.62679,0.0131
0.1,2.1,0.63424,0.013
0.1,2.4,0.64316,0.013
0.1,2.7,0.65259,0.0134
0.1,3,0.65681,0.0134
0.3,0.05,0.31305,0.0078
0.3,0.15,0.43857,0.0086
0.3,0.25,0.45889,0.0088
0.3,0.4,0.48503,0.0088
0.3,0.6,0.51337,0.0088
0.3,0.8,0.54074,0.0137
0.3,1,0.56025,0.014
0.3,1.2,0.57313,0.0138
0.3,1.5,0.59016,0.0136
0.3,1.8,0.60314,0.0135
0.3,2.1,0.6121,0.0134
0.3,2.4,0.62033,0.0133
0.3,2.7,0.62957,0.0133
0.3,3,0.63526,0.0134
0.5,0.05,0.26977,0.009
0.5,0.15,0.39638,0.0093
0.5,0.25,0.4219,0.0093
0.5,0.4,0.45015,0.0091
0.5,0.6,0.48062,0.0091
0.5,0.8,0.50991,0.0144
0.5,1,0.52787,0.0141
0.5,1.2,0.54626,0.0143
0.5,1.5,0.56456,0.0141
0.5,1.8,0.58098,0.014
0.5,2.1,0.59009,0.0138
0.5,2.4,0.60042,0.0137
0.5,2.7,0.60845,0.0137
0.5,3,0.61601,0.0136
0.7,0.05,0.2342,0.0093
0.7,0.15,0.3609,0.01
0.7,0.25,0.38616,0.0098
0.7,0.4,0.41921,0.0096
0.7,0.6,0.4516,0.0096
0.7,0.8,0.476,0.0094
0.7,1,0.50268,0.0147
0.7,1.2,0.52003,0.0148
0.7,1.5,0.54103,0.0146
0.7,1.8,0.55937,0.0144
0.7,2.1,0.5699,0.0142
0.7,2.4,0.58069,0.0141
0.7,2.7,0.58948,0.014
0.7,3,0.59648,0.0139
0.9,0.05,0.21583,0.0305
0.9,0.15,0.31934,0.026
0.9,0.25,0.35511,0.0322
0.9,0.4,0.38128,0.0304
0.9,0.6,0.42017,0.0306
0.9,0.8,0.44657,0.03
0.9,1,0.4707,0.0304
0.9,1.2,0.48578,0.0298
0.9,1.5,0.50467,0.0293
0.9,1.8,0.52792,0.0298
0.9,2.1,0.54212,0.0296
0.9,2.4,0.55549,0.0315
0.9,2.7,0.56369,0.0311
0.9,3,0.57166,0.0308
1.1,0.05,0.19024,0.0297
1.1,0.15,0.29467,0.0274
1.1,0.25,0.33237,0.0342
1.1,0.4,0.35394,0.032
1.1,0.6,0.39423,0.032
1.1,0.8,0.42392,0.0315
1.1,1,0.4458,0.0317
1.1,1.2,0.4648,0.0309
1.1,1.5,0.48284,0.0301
1.1,1.8,0.50358,0.0298
1.1,2.1,0.52481,0.0304
1.1,2.4,0.53389,0.03
1.1,2.7,0.54987,0.0319
1.1,3,0.55612,0.0315
1.3,0.05,0.16779,0.0307
1.3,0.15,0.27425,0.029
1.3,0.25,0.30416,0.0358
1.3,0.4,0.33169,0.0338
1.3,0.6,0.36908,0.0331
1.3,0.8,0.40015,0.0324
1.3,1,0.42556,0.0331
1.3,1.2,0.44512,0.0321
1.3,1.5,0.46659,0.031
1.3,1.8,0.48143,0.0303
1.3,2.1,0.50117,0.0304
1.3,2.4,0.51866,0.0308
1.3,2.7,0.53447,0.0327
1.3,3,0.5417,0.0324
1.5,0.05,0.14989,0.0325
1.5,0.15,0.25172,0.0287
1.5,0.25,0.28479,0.0374
1.5,0.4,0.31378,0.0356
1.5,0.6,0.34739,0.0346
1.5,0.8,0.3795,0.0338
1.5,1,0.40338,0.0328
1.5,1.2,0.42437,0.0333
1.5,1.5,0.44756,0.0321
1.5,1.8,0.46806,0.0312
1.5,2.1,0.4798,0.0307
1.5,2.4,0.50272,0.0315
1.5,2.7,0.51082,0.0312
1.5,3,0.5273,0.0331
1.7,0.05,0.13771,0.0352
1.7,0.15,0.23845,0.0338
1.7,0.25,0.26869,0.0395
1.7,0.4,0.29396,0.0375
1.7,0.6,0.33294,0.036
1.7,0.8,0.3576,0.0345
1.7,1,0.38237,0.0336
1.7,1.2,0.4058,0.0344
1.7,1.5,0.43057,0.0332
1.7,1.8,0.44929,0.0321
1.7,2.1,0.4659,0.0313
1.7,2.4,0.4817,0.0313
1.7,2.7,0.49747,0.0319
1.7,3,0.50803,0.0315
2,0.05,0.12283,0.0383
2,0.15,0.21112,0.0313
2,0.25,0.24222,0.0421
2,0.4,0.27549,0.0397
2,0.6,0.30878,0.0384
2,0.8,0.33365,0.0361
2,1,0.35453,0.0349
2,1.2,0.38331,0.0361
2,1.5,0.40948,0.0346
2,1.8,0.42643,0.0336
2,2.1,0.44293,0.0328
2,2.4,0.45382,0.0321
2,2.7,0.47252,0.032
2,3,0.48358,0.0316
2.2,0.05,0.11751,0.0412
2.2,0.15,0.19479,0.0319
2.2,0.25,0.22743,0.042
2.2,0.4,0.26084,0.0417
2.2,0.6,0.29529,0.0399
2.2,0.8,0.32046,0.0373
2.2,1,0.34208,0.036
2.2,1.2,0.35775,0.0347
2.2,1.5,0.39129,0.0356
2.2,1.8,0.41296,0.0345
2.2,2.1,0.43035,0.0337
2.2,2.4,0.44277,0.0328
2.2,2.7,0.45213,0.0323
2.2,3,0.47061,0.0324
2.5,0.05,0.10517,0.0389
2.5,0.15,0.17995,0.033
2.5,0.25,0.20945,0.0426
2.5,0.4,0.23969,0.0445
2.5,0.6,0.27741,0.042
2.5,0.8,0.29905,0.0394
2.5,1,0.32418,0.0378
2.5,1.2,0.34068,0.0362
2.5,1.5,0.36759,0.0369
2.5,1.8,0.39431,0.0358
2.5,2.1,0.40954,0.035
2.5,2.4,0.42362,0.0342
2.5,2.7,0.43527,0.0334
2.5,3,0.44495,0.0328
2.7,0.05,0.099052,0.0433
2.7,0.15,0.17284,0.0341
2.7,0.25,0.19237,0.033
2.7,0.4,0.2271,0.0456
2.7,0.6,0.26681,0.0436
2.7,0.8,0.28943,0.0407
2.7,1,0.31084,0.0386
2.7,1.2,0.33142,0.0372
2.7,1.5,0.35304,0.0373
2.7,1.8,0.38066,0.0369
2.7,2.1,0.3987,0.0357
2.7,2.4,0.41106,0.0349
2.7,2.7,0.4235,0.0342
2.7,3,0.43306,0.0337
3,0.05,0.083313,0.0422
3,0.15,0.1606,0.036
3,0.25,0.17766,0.0342
3,0.4,0.21584,0.0478
3,0.6,0.24771,0.0462
3,0.8,0.27227,0.0428
3,1,0.29271,0.0402
3,1.2,0.31431,0.039
3,1.5,0.33347,0.037
3,1.8,0.35704,0.0372
3,2.1,0.38115,0.0372
3,2.4,0.39482,0.036
3,2.7,0.40746,0.0352
3,3,0.41577,0.0346
